iter	Passed	Remaining
699	2525	1082
700	2527	1078
701	2533	1075
702	2536	1071
703	2538	1067
704	2541	1063
705	2546	1060
706	2549	1056
707	2552	1052
708	2555	1048
709	2559	1045
710	2562	1041
711	2565	1037
712	2568	1033
713	2571	1029
714	2576	1026
715	2579	1023
716	2581	1019
717	2584	1015
718	2588	1011
719	2591	1007
720	2594	1004
721	2597	1000
722	2600	996
723	2606	993
724	2609	989
725	2611	985
726	2614	981
727	2620	978
728	2623	975
729	2626	971
730	2629	967
731	2634	964
732	2638	960
733	2641	957
734	2644	953
735	2649	950
736	2652	946
737	2655	942
738	2658	938
739	2663	935
740	2666	931
741	2669	928
742	2672	924
743	2674	920
744	2679	917
745	2682	913
746	2684	909
747	2687	905
748	2694	902
749	2697	899
750	2700	895
751	2702	891
752	2707	888
753	2710	884
754	2713	880
755	2716	876
756	2719	872
757	2722	869
758	2725	865
759	2728	861
760	2730	857
761	2735	854
762	2739	850
763	2742	847
764	2744	843
765	2750	840
766	2753	836
767	2755	832
768	2758	828
769	2761	824
770	2765	821
771	2768	817
772	2770	813
773	2773	809
774	2776	806
775	2781	802
776	2783	798
777	2789	795
778	2792	792
779	2795	788
780	2799	784
781	2802	781
782	2805	777
783	2809	774
784	2813	770
785	2816	766
786	2819	763
787	2833	762
788	2848	761
789	2853	758
790	2858	755
791	2864	752
792	2874	750
793	2879	747
794	2885	744
795	2892	741
796	2904	739
797	2911	737
798	2922	735
799	2925	731
800	2928	727
801	2932	724
802	2936	720
803	2940	716
804	2943	712
805	2946	709
806	2950	705
807	2953	701
808	2956	698
809	2961	694
810	2965	690
811	2967	687
812	2972	683
813	2975	679
814	2978	676
815	2981	672
816	2984	668
817	2988	664
818	2992	661
819	2995	657
820	2998	653
821	3000	649
822	3004	646
823	3008	642
824	3011	638
825	3014	634
826	3019	631
827	3023	627
828	3025	624
829	3028	620
830	3032	616
831	3036	613
832	3039	609
833	3041	605
834	3044	601
835	3047	597
836	3051	594
837	3053	590
838	3056	586
839	3060	582
840	3063	579
841	3065	575
842	3068	571
843	3071	567
844	3074	563
845	3076	560
846	3079	556
847	3082	552
848	3088	549
849	3091	545
850	3093	541
851	3096	537
852	3099	534
853	3102	530
854	3105	526
855	3108	522
856	3110	519
857	3113	515
858	3117	511
859	3120	508
860	3124	504
861	3127	500
862	3130	497
863	3133	493
864	3136	489
865	3138	485
866	3141	481
867	3143	478
868	3146	474
869	3149	470
870	3152	466
871	3155	463
872	3157	459
873	3160	455
874	3163	451
875	3166	448
876	3169	444
877	3172	440
878	3174	437
879	3177	433
880	3180	429
881	3182	425
882	3186	422
883	3189	418
884	3192	414
885	3195	411
886	3197	407
887	3200	403
888	3204	400
